codec,dataset,column,N,raw_bytes,compressed_bytes,ratio,encode_ms,decode_ms,encode_mbs,decode_mbs,max_error,query_mean_us,query_ds_us,query_gorilla_us,query_lz4_us,query_zstd_us,query_min_us,query_max_us,query_sum_us,query_count_us,query_var_us,query_where_us,query_value_at_us,query_scan_us
striq-e0.01,synthetic,slow_sine,50000,400000,173774,2.3018,3.2560,0.1100,122.85,3636.36,0.010000,0.20,29.50,0.00,0.00,0.00,0.10,0.00,0.00,0.00,4.10,83.40,1.20,8.50
gorilla,synthetic,slow_sine,50000,400000,343445,1.1647,22.5117,1.7637,17.77,226.80,0.000000,0.00,0.00,3048.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,synthetic,slow_sine,50000,400000,183724,2.1772,0.9053,0.1223,441.83,3269.75,0.000000,0.00,0.00,0.00,94.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,synthetic,slow_sine,50000,400000,46003,8.6951,1.1740,0.3233,340.72,1237.11,0.000000,0.00,0.00,0.00,0.00,281.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,synthetic,ramp,50000,400000,55095,7.2602,1.0690,0.1050,374.18,3809.52,0.010000,0.10,10.40,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.50,0.60,1.00,8.10
gorilla,synthetic,ramp,50000,400000,335829,1.1911,6.8677,1.9623,58.24,203.84,0.000000,0.00,0.00,1875.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,synthetic,ramp,50000,400000,208942,1.9144,0.6043,0.1100,661.89,3636.36,0.000000,0.00,0.00,0.00,115.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,synthetic,ramp,50000,400000,67860,5.8945,1.0873,0.4630,367.87,863.93,0.000000,0.00,0.00,0.00,0.00,417.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,synthetic,noise,50000,400000,155642,2.5700,1.2600,0.0620,317.46,6451.61,0.010000,0.10,19.90,0.00,0.00,0.00,0.10,0.00,0.00,0.00,1.30,77.20,2.40,10.10
lz4,synthetic,noise,50000,400000,401570,0.9961,0.0200,0.0170,20000.00,23529.41,0.000000,0.00,0.00,0.00,8.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
